Location	Time	Class	Type	Length	Width	ID
NOR	1.33	D	Bus	14.5000	2.5500	1
NOR	5.83	C	Van	7.9500	2.0000	2
AND	8.33	B	Sedan	6.0000	1.7000	3
GOK	10.00	B	Sedan	6.0000	1.7000	4
GOK	11.50	D	BigTruck	19.2500	2.6500	5
GOK	11.83	D	BigTruck	19.2500	2.6500	6
GOK	12.17	C	Van	7.9500	2.0000	7
GOK	13.83	C	Van	7.9500	2.0000	8
AND	21.67	B	Sedan	6.0000	1.7000	9
AND	22.67	C	MiniTruckPickup	6.4000	2.0000	10
GOK	23.50	D	BigTruck	19.2500	2.6500	11
AND	25.83	C	Van	7.9500	2.0000	12
AND	27.00	C	Jeep	6.9500	1.8500	13
AND	34.00	C	MiniTruckPickup	6.4000	2.0000	14
AND	34.17	D	Bus	14.5000	2.5500	15
GOK	36.33	D	BigTruck	19.2500	2.6500	16
AND	36.67	A	BicycleMotorcycle	2.1500	0.6500	17
NOR	38.17	D	Bus	14.5000	2.5500	18
AND	39.17	D	Bus	14.5000	2.5500	18
AND	42.33	C	Jeep	6.9500	1.8500	19
NOR	43.17	D	Bus	14.5000	2.5500	20
AND	43.33	D	Bus	14.5000	2.5500	20
GOK	43.33	B	Sedan	6.0000	1.7000	21
AND	44.33	C	Van	7.9500	2.0000	21
GOK	45.83	D	BigTruck	19.2500	2.6500	22
AND	46.17	B	Sedan	6.0000	1.7000	22
GOK	46.83	D	BigTruck	19.2500	2.6500	23
GOK	48.17	B	Sedan	6.0000	1.7000	23
AND	50.67	B	Sedan	6.0000	1.7000	23
